post_type,likes,shares,comments,date
carousel,37723,7321,3134,2024-01-15
carousel,57393,5266,2461,2024-02-20
reel,30467,8386,2290,2024-03-05
reel,61857,2185,2887,2024-03-18
live_stream,41581,3619,1682,2024-04-10
static_image,14050,458,423,2024-05-07
static_image,11881,590,285,2024-05-14
reel,63232,2615,2134,2024-06-22
live_stream,30264,4177,1715,2024-07-01
live_stream,36379,3109,1536,2024-07-14
static_image,16555,471,254,2024-08-03
live_stream,32631,3931,1852,2024-08-18
carousel,36979,3855,1510,2024-09-09
static_image,18997,766,571,2024-09-23
static_image,11569,955,468,2024-10-04
static_image,16912,966,455,2024-10-12
static_image,8955,531,481,2024-11-07
reel,29590,7282,606,2024-11-15
live_stream,30682,3085,1695,2024-12-01
reel,70344,5596,1748,2024-12-15
reel,58914,3938,3284,2024-12-20
reel,58060,7333,3590,2025-01-03
carousel,58872,6600,3010,2025-01-08
static_image,20672,1034,637,2025-01-10
live_stream,32079,3240,1557,2025-01-12
static_image,20439,691,219,2025-01-15
live_stream,39037,3910,1903,2025-01-18
static_image,17245,544,416,2025-01-20
static_image,9262,695,623,2025-01-25
live_stream,30217,3895,1415,2025-01-30
reel,525225,5115,7272,2025-01-23
